domain,reason,details,browser_accessible
renault.pe,dns,"HTTPSConnectionPool(host='renault.pe', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D23E350>: Failed to resolve 'renault.pe' ([Errno 11002] getaddrinfo failed)""))",no
allianz.com.ar,timeout,"HTTPSConnectionPool(host='allianz.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1C9E10>, 'Connection to allianz.com.ar timed out. (connect timeout=8)'))",no
kiaofabilene.com,other-http,HTTP 405,maybe
kumonshuppan.com,other-http,HTTP 200,maybe
trulynolenalagoas.com.br,other-http,HTTP 200,maybe
renaultchiapas.com.mx,blocked-bot-waf,Cloudflare 403,yes
bakertillylb.com,ssl,"HTTPSConnectionPool(host='bakertillylb.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bakertillylb.com'. (_ssl.c:992)"")))",no
kiaofduluth.com,ssl,"HTTPSConnectionPool(host='kiaofduluth.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kiaofduluth.com'. (_ssl.c:992)"")))",no
plameco.be,other-http,HTTP 200,maybe
hahn-kolb.mx,timeout,"HTTPSConnectionPool(host='hahn-kolb.mx', port=443): Read timed out. (read timeout=8)",no
modshair-mannheim.de,ssl,"HTTPSConnectionPool(host='modshair-mannheim.de', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'modshair-mannheim.de'. (_ssl.c:992)"")))",no
decathlon.ro,blocked-bot-waf,HTTP 403 Forbidden,yes
decathlon.pl,blocked-bot-waf,HTTP 403 Forbidden,yes
lindeoilandgas.com,ssl,"HTTPSConnectionPool(host='lindeoilandgas.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'lindeoilandgas.com'. (_ssl.c:992)"")))",no
wurthindustry.ca,dns,"HTTPSConnectionPool(host='wurthindustry.ca', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1D98D0>: Failed to resolve 'wurthindustry.ca' ([Errno 11001] getaddrinfo failed)""))",no
mazda112.com,other-http,HTTP 405,maybe
pepsico.com.tr,blocked-bot-waf,robots noindex found,yes
mtn.co.rw,ssl,"HTTPSConnectionPool(host='mtn.co.rw', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
allianz-peev.de,other-http,HTTP 200,maybe
mazdaofescondido.com,blocked-bot-waf,Cloudflare 403,yes
tbwa.co.nz,other-http,HTTP 200,maybe
moore.es,other-http,HTTP 200,maybe
miniso-au.com,other-http,HTTP 200,maybe
renaultcancun.com.mx,blocked-bot-waf,Cloudflare 403,yes
renaultinterlomas.com,blocked-bot-waf,Cloudflare 403,yes
mazdaofwestridge.com,blocked-bot-waf,Cloudflare 403,yes
renaultcoatzacoalcos.com.mx,blocked-bot-waf,Cloudflare 403,yes
shimadzu.com.ph,dns,"HTTPSConnectionPool(host='shimadzu.com.ph', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1D8C90>: Failed to resolve 'shimadzu.com.ph' ([Errno 11001] getaddrinfo failed)""))",no
mazda.com.sg,blocked-bot-waf,HTTP 403 Forbidden,yes
mazdaofnorthmiami.com,blocked-bot-waf,Cloudflare 403,yes
canon.cl,dns,"HTTPSConnectionPool(host='canon.cl', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1DF350>: Failed to resolve 'canon.cl' ([Errno 11001] getaddrinfo failed)""))",no
truckcityford.com,other-http,HTTP 405,maybe
bakertilly.com.cy,dns,"HTTPSConnectionPool(host='bakertillysee.com%5c', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1B2A10>: Failed to resolve 'bakertillysee.com%5c' ([Errno 11001] getaddrinfo failed)""))",no
mazdaofchicagoland.com,blocked-bot-waf,Cloudflare 403,yes
mazda-warszawa-auto2000.pl,blocked-bot-waf,robots noindex found,yes
wurth-int.com,blocked-bot-waf,robots noindex found,yes
allianz-handwerker.de,blocked-bot-waf,HTTP 403 Forbidden,yes
mercyships.de,other-http,HTTP 200,maybe
daikinmalaysia.com,other-http,HTTP 200,maybe
cfmotoqueretaro.com,ssl,"HTTPSConnectionPool(host='www.rinconlatinorestaurante.com', port=443): Max retries exceeded with url: /menu/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
renaultamericas.com.mx,blocked-bot-waf,Cloudflare 403,yes
kesz.rs,dns,"HTTPConnectionPool(host='www.kesz.rs%5c', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002651D1DC350>: Failed to resolve 'www.kesz.rs%5c' ([Errno 11001] getaddrinfo failed)""))",no
renault-materom.ro,other-http,HTTP 200,maybe
kiaofpa.com,blocked-bot-waf,Cloudflare 403,yes
mercyships.fr,other-http,HTTP 200,maybe
renault.com.my,timeout,"HTTPSConnectionPool(host='renault.com.my', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1D9290>, 'Connection to renault.com.my timed out. (connect timeout=8)'))",no
bakertilly.mt,other-http,HTTP 200,maybe
repsol.com.mx,other-http,HTTP 401,maybe
printsasia.com,not-found,HTTP 404,yes
shimadzu-rika.co.jp,dns,"HTTPSConnectionPool(host='shimadzu-rika.co.jp', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2410D0>: Failed to resolve 'shimadzu-rika.co.jp' ([Errno 11001] getaddrinfo failed)""))",no
manpowergroup.ca,timeout,"HTTPSConnectionPool(host='manpowergroup.ca', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D2427D0>, 'Connection to manpowergroup.ca timed out. (connect timeout=8)'))",no
chicco.com.tw,dns,"HTTPSConnectionPool(host='chicco.com.tw', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1CEF90>: Failed to resolve 'chicco.com.tw' ([Errno 11001] getaddrinfo failed)""))",no
remax-buchholz.de,other-http,HTTP 200,maybe
cuponesybeneficios.com.co,other-http,HTTP 200,maybe
astrazeneca.no,other-http,HTTP 200,maybe
orange.co.bw,timeout,"HTTPSConnectionPool(host='orange.co.bw', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D2436D0>, 'Connection to orange.co.bw timed out. (connect timeout=8)'))",no
isover.it,blocked-bot-waf,HTTP 403 Forbidden,yes
hondaheritagecenter.com,ssl,"HTTPSConnectionPool(host='hondaheritagecenter.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
mazdacorpuschristi.com,blocked-bot-waf,HTTP 403 Forbidden,yes
allianz-spm.fr,dns,"HTTPSConnectionPool(host='allianz-spm.fr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2416D0>: Failed to resolve 'allianz-spm.fr' ([Errno 11001] getaddrinfo failed)""))",no
mazdaoforlandpark.com,blocked-bot-waf,Cloudflare 403,yes
renaultpuertovallarta.com.mx,blocked-bot-waf,Cloudflare 403,yes
melgarcases.com,other-http,HTTP 200,maybe
kiaofverobeach.com,ssl,"HTTPSConnectionPool(host='kiaofverobeach.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:992)')))",no
carlsjr.co.nz,blocked-bot-waf,HTTP 403 Forbidden,yes
howdengroupholdings.com,blocked-bot-waf,Cloudflare 403,yes
kiavacaville.com,ssl,"HTTPSConnectionPool(host='kiavacaville.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kiavacaville.com'. (_ssl.c:992)"")))",no
captrain.pl,timeout,"HTTPSConnectionPool(host='captrain.pl', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1B8C50>, 'Connection to captrain.pl timed out. (connect timeout=8)'))",no
kiajc.com,ssl,"HTTPSConnectionPool(host='kiajc.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kiajc.com'. (_ssl.c:992)"")))",no
kiaofstcatharines.com,blocked-bot-waf,Cloudflare 403,yes
toyotasud.ro,other-http,HTTP 200,maybe
allianz.ua,blocked-bot-waf,HTTP 403 Forbidden,yes
freseniuskidneycare.cn,dns,"HTTPSConnectionPool(host='freseniuskidneycare.cn', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1CE6D0>: Failed to resolve 'freseniuskidneycare.cn' ([Errno 11001] getaddrinfo failed)""))",no
mitsubishielectric.com.sg,timeout,"HTTPSConnectionPool(host='mitsubishielectric.com.sg', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1DE3D0>, 'Connection to mitsubishielectric.com.sg timed out. (connect timeout=8)'))",no
savethechildren.nl,blocked-bot-waf,HTTP 403 Forbidden,yes
sanlorenzo.com.pe,timeout,"HTTPSConnectionPool(host='sanlorenzo.com.pe', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1DE7D0>, 'Connection to sanlorenzo.com.pe timed out. (connect timeout=8)'))",no
kiamotors.com.kh,dns,"HTTPSConnectionPool(host='kiamotors.com.kh', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1DAE10>: Failed to resolve 'kiamotors.com.kh' ([Errno 11002] getaddrinfo failed)""))",no
vectorinfotech.my,other-http,HTTP 200,maybe
isuzu.com,ssl,"HTTPSConnectionPool(host='isuzu.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
pefc.es,other-http,HTTP 200,maybe
decathlon.cz,blocked-bot-waf,HTTP 403 Forbidden,yes
mazdaofportcharlotte.com,blocked-bot-waf,Cloudflare 403,yes
mazdaofcolumbia.com,blocked-bot-waf,HTTP 403 Forbidden,yes
kiaofoldsaybrook.com,blocked-bot-waf,Cloudflare 403,yes
duracell.in,ssl,"HTTPSConnectionPool(host='duracell.in', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
aad-insurance.com,timeout,"HTTPSConnectionPool(host='aad-insurance.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D241C90>, 'Connection to aad-insurance.com timed out. (connect timeout=8)'))",no
sonepar.pt,ssl,"HTTPSConnectionPool(host='sonepar.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
lunarclient.com,other-http,HTTP 200,maybe
allianzportugal.pt,dns,"HTTPSConnectionPool(host='allianzportugal.pt', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D232BD0>: Failed to resolve 'allianzportugal.pt' ([Errno 11001] getaddrinfo failed)""))",no
mazdaofsouthcharlotte.com,other-http,HTTP 405,maybe
rotaryclubmedellin.org,timeout,"HTTPSConnectionPool(host='rotaryclubmedellin.org', port=443): Read timed out. (read timeout=8)",no
synergie.es,other-http,HTTP 200,maybe
duracell.com.tr,ssl,"HTTPSConnectionPool(host='duracell.com.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
saint-gobain.com.co,blocked-bot-waf,HTTP 403 Forbidden,yes
affresco-decor.com,blocked-bot-waf,HTTP 403 Forbidden,yes
starkey.co.uk,ssl,"HTTPSConnectionPool(host='starkey.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
risogallo.it,ssl,"HTTPSConnectionPool(host='risogallo.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:992)')))",no
subway.com.tw,other-http,HTTP 200,maybe
trulynolengoias.com.br,other-http,HTTP 200,maybe
wuerth.co.th,connection-error,"HTTPSConnectionPool(host='wuerth.co.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002651D1D2910>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",no
kiaofwestchester.com,other-http,HTTP 405,maybe
mcdonalds.com.jo,timeout,"HTTPSConnectionPool(host='mcdonalds.com.jo', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D241450>, 'Connection to mcdonalds.com.jo timed out. (connect timeout=8)'))",no
mercyships.ch,other-http,HTTP 200,maybe
altenromania.ro,ssl,"HTTPSConnectionPool(host='altenromania.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
mercyships.org.au,blocked-bot-waf,Cloudflare 403,yes
astrazeneca.dk,other-http,HTTP 200,maybe
toyota-corbeil.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
saint-gobain.ar,blocked-bot-waf,HTTP 403 Forbidden,yes
adra.org.au,blocked-bot-waf,Cloudflare 403,yes
rexel.se,other-http,HTTP 200,maybe
allianz.ie,blocked-bot-waf,HTTP 403 Forbidden,yes
worldvision.org.uk,ssl,"HTTPSConnectionPool(host='worldvision.org.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
isover.de,blocked-bot-waf,HTTP 403 Forbidden,yes
