domain,status,strategy,filename,hash,error
toyotabacau.ro,success,img-or-favicon,toyotabacau.ro_f3ca8c8cf641f7d38bc4972a64fe88dd.png,f3ca8c8cf641f7d38bc4972a64fe88dd,
decathlon.hu,success,inline-svg,decathlon.hu_e06f6c4435ec21ac38dba97cf0964cbe.svg,e06f6c4435ec21ac38dba97cf0964cbe,
isover.se,fail,,,,No logo found
mazdaoforange.com,fail,,,,"Page.goto: net::ERR_CERT_DATE_INVALID at https://mazdaoforange.com/
Call log:
  - navigating to ""https://mazdaoforange.com/"", waiting until ""load""
"
kiamarin.com,fail,,,,No logo found
toyota-annecy.fr,fail,,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://toyota-annecy.fr/
Call log:
  - navigating to ""https://toyota-annecy.fr/"", waiting until ""load""
"
pingusenglish.co.id,fail,,,,No logo found
veka.pt,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://veka.pt/
Call log:
  - navigating to ""https://veka.pt/"", waiting until ""load""
"
stanbicbank.co.bw,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://stanbicbank.co.bw/"", waiting until ""load""
"
toysrus.com.ph,fail,,,,No logo found
renaultcampeche.mx,success,inline-svg,renaultcampeche.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
kiaofdaphne.com,fail,,,,No logo found
isover.ua,fail,,,,No logo found
toyota-rillieux.fr,fail,,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://toyota-rillieux.fr/
Call log:
  - navigating to ""https://toyota-rillieux.fr/"", waiting until ""load""
"
bakertilly.sl,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://bakertilly.sl/
Call log:
  - navigating to ""https://bakertilly.sl/"", waiting until ""load""
"
tupperware.es,fail,,,,No logo found
sitechsolutions.com,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://sitechsolutions.com/"", waiting until ""load""
"
toysrus.fr,fail,,,,No logo found
mazda-krakow-kazokuluzar.pl,fail,,,,No logo found
astrazeneca.hu,fail,,,,"APIRequestContext.get: getaddrinfo ENOTFOUND www.astrazeneca.huetc
Call log:
  - → GET https://astrazeneca.hu/etc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
    - cookie: AWSALB=25pOnmvVjHs1q+ImUvaAihFYxyevn61K5KqY3Ou25x/+vtE8ZuJESpkqQ6WPOEMvqD89M5OJtWpMfjFpsiAQ3S7kQ2DTxV8eNW17aNbSqwS1juzTavDw2VnkUqgP; AWSALBCORS=25pOnmvVjHs1q+ImUvaAihFYxyevn61K5KqY3Ou25x/+vtE8ZuJESpkqQ6WPOEMvqD89M5OJtWpMfjFpsiAQ3S7kQ2DTxV8eNW17aNbSqwS1juzTavDw2VnkUqgP; utag_main=v_id:0197e0752930000f492f1883abd800029001b021007e8$_sn:1$_se:1$_ss:1$_st:1751819264113$ses_id:1751817464113%3Bexp-session$_pn:1%3Bexp-session
  - ← 301 Moved Permanently
    - date: Sun, 06 Jul 2025 15:57:45 GMT
    - content-type: text/html; charset=iso-8859-1
    - content-length: 274
    - connection: keep-alive
    - set-cookie: AWSALB=sreYtNMnVFJzm7E3TGFCa1ImKuhPFb6kJrUsWfNYKB7Kzh2/rD6qkSce5G6spCje/pb3jXqppOzAiaLSu2zo5HeyYGlgTeePTr/5bipbcCwBG44RoHybeXk5cbge; Expires=Sun, 13 Jul 2025 15:57:45 GMT; Path=/,AWSALBCORS=sreYtNMnVFJzm7E3TGFCa1ImKuhPFb6kJrUsWfNYKB7Kzh2/rD6qkSce5G6spCje/pb3jXqppOzAiaLSu2zo5HeyYGlgTeePTr/5bipbcCwBG44RoHybeXk5cbge; Expires=Sun, 13 Jul 2025 15:57:45 GMT; Path=/; SameSite=None; Secure
    - server: Apache
    - location: https://www.astrazeneca.huetc/designs/az/img/logo-az-condensed.png
  - → GET https://www.astrazeneca.huetc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
"
toyotaortakoy.com.tr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://toyotaortakoy.com.tr/
Call log:
  - navigating to ""https://toyotaortakoy.com.tr/"", waiting until ""load""
"
acuraofwestchester.com,fail,,,,No logo found
hyundaiblacktown.com.au,success,img-or-favicon,hyundaiblacktown.com.au_021c0fab4dcabe1b172fe82dc67e0c38.svg,021c0fab4dcabe1b172fe82dc67e0c38,
mercyships.dk,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
plameco.nl,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
allianz.com.gr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://allianz.com.gr/
Call log:
  - navigating to ""https://allianz.com.gr/"", waiting until ""load""
"
bakertillymapema.se,success,inline-svg,bakertillymapema.se_83d467bdb27ef0d3419e0f1fffe08077.svg,83d467bdb27ef0d3419e0f1fffe08077,
mazdacity.com,fail,,,,No logo found
kia-kmv.ru,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://kia-kmv.ru/
Call log:
  - navigating to ""https://kia-kmv.ru/"", waiting until ""load""
"
intersport.si,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://intersport.si/"", waiting until ""load""
"
tevamexico.com.mx,fail,,,,Image fetch failed
allianz-genc.de,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
suttontools.co.nz,success,img-or-favicon,suttontools.co.nz_d5a84ce44044f9d231b07b5a20132884.png,d5a84ce44044f9d231b07b5a20132884,
daikin.com.mm,success,inline-svg,daikin.com.mm_69a2731a04662dc3971fdbee2b24ac07.svg,69a2731a04662dc3971fdbee2b24ac07,
mazdaofspartanburg.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://mazdaofspartanburg.com/
Call log:
  - navigating to ""https://mazdaofspartanburg.com/"", waiting until ""load""
"
hyundaichullora.com.au,success,img-or-favicon,hyundaichullora.com.au_021c0fab4dcabe1b172fe82dc67e0c38.svg,021c0fab4dcabe1b172fe82dc67e0c38,
mazdafwb.com,fail,,,,No logo found
saint-gobain-glass.es,fail,,,,No logo found
reedglobal.bg,fail,,,,"Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://reedglobal.bg/
Call log:
  - navigating to ""https://reedglobal.bg/"", waiting until ""load""
"
orange-bissau.com,fail,,,,"Page.goto: net::ERR_CONNECTION_REFUSED at https://orange-bissau.com/
Call log:
  - navigating to ""https://orange-bissau.com/"", waiting until ""load""
"
medef-somme.fr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://medef-somme.fr/
Call log:
  - navigating to ""https://medef-somme.fr/"", waiting until ""load""
"
saint-gobain-solutions.nl,fail,,,,"Page.goto: net::ERR_TOO_MANY_REDIRECTS at https://saint-gobain-solutions.nl/
Call log:
  - navigating to ""https://saint-gobain-solutions.nl/"", waiting until ""load""
"
soneparfrance.fr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://soneparfrance.fr/
Call log:
  - navigating to ""https://soneparfrance.fr/"", waiting until ""load""
"
savethechildren.org.za,success,img-or-favicon,savethechildren.org.za_12f53c259044f044658c989212680efa.svg,12f53c259044f044658c989212680efa,
vans.com.ar,fail,,,,"APIRequestContext.get: unable to verify the first certificate
Call log:
  - → GET https://vans.com.ar/Content/Vans/favicon.ico
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
    - cookie: LanguajeData=es-AR; ITUTCN_002_M=; ASLBSA=00036100291e7bc153de80154d9b010d88c7272173f8358c34c5dde3eb4882ee09c4; ASLBSACORS=00036100291e7bc153de80154d9b010d88c7272173f8358c34c5dde3eb4882ee09c4; _gcl_au=1.1.185994272.1751817594; _ga=GA1.1.1726268704.1751817594; _ga_ENY47HRVQ4=GS2.1.s1751817593$o1$g0$t1751817594$j59$l0$h1413864861; _fbp=fb.2.1751817594262.670125676102650783; _ga_3FRXCSTGBK=GS2.1.s1751817594$o1$g0$t1751817594$j60$l0$h252458815; __icommTrackerUID={""i"":""user_k0HNoLP8OaBdnp73RTYEDhzJY21RJeaIvDMn_1751817594633"",""s"":false}; _clck=tjngw2%7C2%7Cfxd%7C0%7C2013; _tt_enable_cookie=1; _ttp=01JZG7E9X8M5JJFZKQ9S0G9XPG_.tt.2; ttcsid=1751817594801::Y9kg4TbWS2Z7cgz9yRom.1.1751817594801; wpnViewcount=1; CartExtraData=0; .AspNetCore.Antiforgery.R7bU_yIzIt4=CfDJ8LqXOLnq0A5MlDXdR70PN-GWEsshJ4ZeKJN-pipcSzVGRiMDL2xyN2ki7T5asW4W0DjyPciUmt4hL1zKrnFOxoS0YRp2F9EoXacb9Ek45fuqJ1JJ0qMCY3iu-JrbEdOrCsX8yAAUSGxpxgRQgQpzt_s; ttcsid_CS2OKUBC77U3OBONMP80=1751817594799::A6upSAX9WmfCOjc9WBfw.1.1751817595065; _clsk=ynsjsd%7C1751817595221%7C1%7C1%7Cz.clarity.ms%2Fcollect; TPIDC=7coh-3rhkiypo-75ts3cudrik1z-oak2q6sip35en-r06ah8-oxr; cwdscc=true; _wpn_cotpc=1; sdtpc=1; cus=false; _wpnpecc=1; _wpnmvecc=1; cwdcc=true; WishListUserId=2175d3f4-959d-4e6e-bd43-bd4c213d3971
"
mazdaofpottstown.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://mazdaofpottstown.com/
Call log:
  - navigating to ""https://mazdaofpottstown.com/"", waiting until ""load""
"
isover.com.br,fail,,,,No logo found
alcirclebiz.com,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://alcirclebiz.com/"", waiting until ""load""
"
renault.pe,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://renault.pe/
Call log:
  - navigating to ""https://renault.pe/"", waiting until ""load""
"
allianz.com.ar,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://allianz.com.ar/"", waiting until ""load""
"
kiaofabilene.com,fail,,,,No logo found
kumonshuppan.com,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://kumonshuppan.com/"", waiting until ""load""
"
trulynolenalagoas.com.br,success,img-or-favicon,trulynolenalagoas.com.br_9709a2dfe190addbc7b9cbf378f661cf.png,9709a2dfe190addbc7b9cbf378f661cf,
renaultchiapas.com.mx,success,inline-svg,renaultchiapas.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
bakertillylb.com,success,inline-svg,bakertillylb.com_83d467bdb27ef0d3419e0f1fffe08077.svg,83d467bdb27ef0d3419e0f1fffe08077,
kiaofduluth.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://kiaofduluth.com/
Call log:
  - navigating to ""https://kiaofduluth.com/"", waiting until ""load""
"
plameco.be,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
hahn-kolb.mx,fail,,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://hahn-kolb.mx/
Call log:
  - navigating to ""https://hahn-kolb.mx/"", waiting until ""load""
"
modshair-mannheim.de,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://modshair-mannheim.de/
Call log:
  - navigating to ""https://modshair-mannheim.de/"", waiting until ""load""
"
decathlon.ro,success,inline-svg,decathlon.ro_68e13b48a7c9b7ba824da666bec552b7.svg,68e13b48a7c9b7ba824da666bec552b7,
decathlon.pl,success,inline-svg,decathlon.pl_b6f3e51400f94dad5e8e4eff842eb36f.svg,b6f3e51400f94dad5e8e4eff842eb36f,
lindeoilandgas.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://lindeoilandgas.com/
Call log:
  - navigating to ""https://lindeoilandgas.com/"", waiting until ""load""
"
wurthindustry.ca,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://wurthindustry.ca/
Call log:
  - navigating to ""https://wurthindustry.ca/"", waiting until ""load""
"
mazda112.com,fail,,,,No logo found
pepsico.com.tr,success,inline-svg,pepsico.com.tr_6ce9f4c2ecec861fec504b679c00d833.svg,6ce9f4c2ecec861fec504b679c00d833,
mtn.co.rw,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://mtn.co.rw/
Call log:
  - navigating to ""https://mtn.co.rw/"", waiting until ""load""
"
allianz-peev.de,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
mazdaofescondido.com,fail,,,,No logo found
tbwa.co.nz,success,img-or-favicon,tbwa.co.nz_161c960488e8366b6f1943f56f5f7e3c.svg,161c960488e8366b6f1943f56f5f7e3c,
moore.es,success,img-or-favicon,moore.es_d928dcf831d5719c8e1e0a5a8368f7be.png,d928dcf831d5719c8e1e0a5a8368f7be,
miniso-au.com,fail,,,,No logo found
renaultcancun.com.mx,success,inline-svg,renaultcancun.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
renaultinterlomas.com,success,inline-svg,renaultinterlomas.com_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
mazdaofwestridge.com,fail,,,,No logo found
renaultcoatzacoalcos.com.mx,success,inline-svg,renaultcoatzacoalcos.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
shimadzu.com.ph,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://shimadzu.com.ph/
Call log:
  - navigating to ""https://shimadzu.com.ph/"", waiting until ""load""
"
mazda.com.sg,fail,,,,No logo found
mazdaofnorthmiami.com,fail,,,,No logo found
canon.cl,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://canon.cl/
Call log:
  - navigating to ""https://canon.cl/"", waiting until ""load""
"
truckcityford.com,fail,,,,No logo found
bakertilly.com.cy,success,img-or-favicon,bakertilly.com.cy_1123d31372a1fd81785ed96e1bc6a446.png,1123d31372a1fd81785ed96e1bc6a446,
mazdaofchicagoland.com,fail,,,,No logo found
mazda-warszawa-auto2000.pl,fail,,,,No logo found
wurth-int.com,fail,,,,No logo found
allianz-handwerker.de,fail,,,,Image fetch failed
mercyships.de,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
daikinmalaysia.com,fail,,,,Page.content: Unable to retrieve content because the page is navigating and changing the content.
cfmotoqueretaro.com,success,inline-svg,cfmotoqueretaro.com_3a7c2ee46271ef7f52252f26562211a8.svg,3a7c2ee46271ef7f52252f26562211a8,
renaultamericas.com.mx,success,img-or-favicon,renaultamericas.com.mx_403a0a7dcf2d617e7ea852bfb9d11945.png,403a0a7dcf2d617e7ea852bfb9d11945,
kesz.rs,fail,,,,Image fetch failed
renault-materom.ro,success,img-or-favicon,renault-materom.ro_b02c5dd881fb01718782ff06a6f6c76a.png,b02c5dd881fb01718782ff06a6f6c76a,
kiaofpa.com,fail,,,,No logo found
mercyships.fr,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://mercyships.fr/"", waiting until ""load""
"
renault.com.my,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://renault.com.my/"", waiting until ""load""
"
bakertilly.mt,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://bakertilly.mt/"", waiting until ""load""
"
repsol.com.mx,fail,,,,No logo found
printsasia.com,fail,,,,"Page.goto: net::ERR_CERT_REVOKED at https://printsasia.com/
Call log:
  - navigating to ""https://printsasia.com/"", waiting until ""load""
"
shimadzu-rika.co.jp,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://shimadzu-rika.co.jp/
Call log:
  - navigating to ""https://shimadzu-rika.co.jp/"", waiting until ""load""
"
manpowergroup.ca,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://manpowergroup.ca/"", waiting until ""load""
"
chicco.com.tw,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://chicco.com.tw/
Call log:
  - navigating to ""https://chicco.com.tw/"", waiting until ""load""
"
remax-buchholz.de,success,img-or-favicon,remax-buchholz.de_4522db0df3e9df5ba3644bc3313eff99.ico,4522db0df3e9df5ba3644bc3313eff99,
cuponesybeneficios.com.co,fail,,,,No logo found
astrazeneca.no,fail,,,,"APIRequestContext.get: getaddrinfo ENOTFOUND www.astrazeneca.noetc
Call log:
  - → GET https://astrazeneca.no/etc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
    - cookie: AWSALB=oTRUUvypTV1ilCy0E5x6yFacSAg392BpDSeuk35sM4Pu+JW2GH2ocGLYdMABeMNYLM+xuGIvzaPS99jfQhO4EjU2ElrAjlCUBhEzIPEG3Ys7i2Hj7FBQNiJStebG; AWSALBCORS=oTRUUvypTV1ilCy0E5x6yFacSAg392BpDSeuk35sM4Pu+JW2GH2ocGLYdMABeMNYLM+xuGIvzaPS99jfQhO4EjU2ElrAjlCUBhEzIPEG3Ys7i2Hj7FBQNiJStebG; utag_main=v_id:0197e07d62840022015349b7d78000029001b021007e8$_sn:1$_se:1$_ss:1$_st:1751819803077$ses_id:1751818003077%3Bexp-session$_pn:1%3Bexp-session
  - ← 301 Moved Permanently
    - date: Sun, 06 Jul 2025 16:06:44 GMT
    - content-type: text/html; charset=iso-8859-1
    - content-length: 274
    - connection: keep-alive
    - set-cookie: AWSALB=vrgHsanPSanQ7fYjrpbOxiQJTHulCJr/Y+wYpFQyqPqBI0qSVSAAfSvznOCQBMSQ+c1fz9CzFVYNt5iQDqx1OMxTh6c+UK2tC/SoPz+kg9VMKUMFu8jO+rd4kb6i; Expires=Sun, 13 Jul 2025 16:06:44 GMT; Path=/,AWSALBCORS=vrgHsanPSanQ7fYjrpbOxiQJTHulCJr/Y+wYpFQyqPqBI0qSVSAAfSvznOCQBMSQ+c1fz9CzFVYNt5iQDqx1OMxTh6c+UK2tC/SoPz+kg9VMKUMFu8jO+rd4kb6i; Expires=Sun, 13 Jul 2025 16:06:44 GMT; Path=/; SameSite=None; Secure
    - server: Apache
    - location: https://www.astrazeneca.noetc/designs/az/img/logo-az-condensed.png
  - → GET https://www.astrazeneca.noetc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
"
orange.co.bw,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://orange.co.bw/"", waiting until ""load""
"
isover.it,fail,,,,No logo found
hondaheritagecenter.com,fail,,,,"Page.goto: net::ERR_CERT_DATE_INVALID at https://hondaheritagecenter.com/
Call log:
  - navigating to ""https://hondaheritagecenter.com/"", waiting until ""load""
"
mazdacorpuschristi.com,fail,,,,No logo found
allianz-spm.fr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://allianz-spm.fr/
Call log:
  - navigating to ""https://allianz-spm.fr/"", waiting until ""load""
"
mazdaoforlandpark.com,fail,,,,No logo found
renaultpuertovallarta.com.mx,success,inline-svg,renaultpuertovallarta.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
melgarcases.com,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
kiaofverobeach.com,fail,,,,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://kiaofverobeach.com/
Call log:
  - navigating to ""https://kiaofverobeach.com/"", waiting until ""load""
"
carlsjr.co.nz,fail,,,,No logo found
